resBayes resBagging resRF resLVIRF resCsrf5 resCsrf10 resCsrf50 resCsrf150 resCsrf250 resCsrf350 resDVSRF1 resDVSRF2 resKVRF1 resKVRF2 resKVRF3 resKVRF4 resNNRF1 resNNRF2 resNNRF3
0.1392 0.2102 0.194 0.2008 0.2122 0.2086 0.2106 0.2064 0.1974 0.1998 0.1976 0.204 0.192 0.1938 0.1954 0.198 0.1826 0.1864 0.19
0.145 0.205 0.1918 0.204 0.2154 0.2106 0.2052 0.2046 0.197 0.2006 0.1918 0.1912 0.189 0.1854 0.189 0.1952 0.1836 0.182 0.1934
0.1474 0.2224 0.1962 0.2098 0.2184 0.2164 0.2104 0.2016 0.2056 0.2064 0.198 0.2026 0.1982 0.198 0.1984 0.1992 0.188 0.185 0.1898
0.1578 0.2292 0.2114 0.2166 0.2354 0.2294 0.2226 0.2278 0.2146 0.2156 0.2064 0.2126 0.2116 0.2132 0.2112 0.2104 0.1982 0.2018 0.2148
0.1472 0.222 0.2062 0.2154 0.229 0.2258 0.2202 0.2084 0.2032 0.2056 0.202 0.204 0.2024 0.2074 0.2002 0.2054 0.1836 0.1874 0.1956
0.1464 0.2126 0.2016 0.2104 0.222 0.2156 0.2164 0.2038 0.2044 0.2082 0.2028 0.2014 0.1974 0.1988 0.1972 0.2026 0.1884 0.1876 0.1922
0.1418 0.2094 0.1922 0.2124 0.2202 0.2174 0.2132 0.2096 0.202 0.204 0.2014 0.2028 0.1942 0.192 0.192 0.1992 0.1836 0.1842 0.1926
0.1452 0.2174 0.1964 0.2012 0.214 0.2148 0.2112 0.2076 0.202 0.2066 0.1976 0.1988 0.1938 0.198 0.2032 0.1964 0.182 0.1836 0.1938
0.1412 0.2074 0.1916 0.2014 0.2242 0.2168 0.2098 0.2022 0.2028 0.2018 0.1978 0.2014 0.1968 0.2054 0.2004 0.204 0.1868 0.1784 0.1842
0.1526 0.2252 0.202 0.212 0.2242 0.2248 0.215 0.2116 0.2074 0.2144 0.2064 0.2088 0.2056 0.2044 0.199 0.208 0.1942 0.1954 0.203
