resBayes resBagging resRF resLVIRF resCsrf5 resCsrf10 resCsrf50 resCsrf150 resCsrf250 resCsrf350 resDVSRF1 resDVSRF2 resKVRF1 resKVRF2 resKVRF3 resKVRF4 resNNRF1 resNNRF2 resNNRF3
0.1404 0.2734 0.232 0.2342 0.256 0.253 0.248 0.247 0.2518 0.2446 0.2252 0.2356 0.2308 0.23 0.2518 0.2534 0.2278 0.225 0.2278
0.1396 0.2754 0.2342 0.2352 0.2592 0.2526 0.2486 0.2382 0.236 0.2454 0.243 0.261 0.2398 0.2454 0.2434 0.2576 0.2258 0.2228 0.2258
0.1502 0.281 0.24 0.2328 0.2634 0.2538 0.2494 0.248 0.248 0.259 0.2432 0.2572 0.2306 0.2404 0.2574 0.2644 0.2304 0.225 0.2284
0.156 0.2882 0.2418 0.2542 0.2678 0.2682 0.2574 0.2602 0.27 0.2604 0.2466 0.2616 0.2374 0.2512 0.253 0.265 0.233 0.228 0.2318
0.1472 0.2876 0.2316 0.2454 0.2622 0.2506 0.249 0.2538 0.2616 0.2472 0.2314 0.2372 0.2332 0.2436 0.2442 0.2528 0.228 0.231 0.2224
0.1416 0.2706 0.2318 0.232 0.2548 0.249 0.2462 0.2416 0.2414 0.2534 0.2412 0.2466 0.2316 0.2412 0.2384 0.251 0.2208 0.2194 0.2358
0.1412 0.2678 0.2252 0.229 0.2506 0.2512 0.2398 0.2318 0.253 0.2532 0.2386 0.2496 0.2322 0.2332 0.2496 0.2592 0.2208 0.2132 0.2234
0.1432 0.283 0.2382 0.2294 0.251 0.2466 0.2464 0.2474 0.249 0.2452 0.2454 0.2552 0.2354 0.2272 0.2384 0.257 0.2106 0.2156 0.227
0.145 0.2726 0.2188 0.2216 0.25 0.2366 0.2354 0.2486 0.2518 0.2482 0.226 0.2362 0.2142 0.2204 0.2386 0.2444 0.217 0.2074 0.2158
0.1462 0.2856 0.2408 0.2422 0.2682 0.2692 0.2578 0.2612 0.2608 0.2498 0.2508 0.2546 0.239 0.2526 0.2612 0.2654 0.2222 0.2214 0.231
