resBayes resBagging resRF resLVIRF resCsrf5 resCsrf10 resCsrf50 resCsrf150 resCsrf250 resCsrf350 resDVSRF1 resDVSRF2 resKVRF1 resKVRF2 resKVRF3 resKVRF4 resNNRF1 resNNRF2 resNNRF3
0.2612 0.4502 0.4598 0.464 0.4668 0.4618 0.4692 0.467 0.4722 0.4662 0.4588 0.4584 0.4514 0.4518 0.4564 0.4572 0.4374 0.451 0.4544
0.2566 0.4152 0.4262 0.4574 0.4388 0.4352 0.4324 0.4328 0.4316 0.4328 0.4428 0.4416 0.4232 0.42 0.4224 0.4298 0.4184 0.4188 0.4306
0.2656 0.4374 0.441 0.4792 0.468 0.4658 0.444 0.4488 0.4558 0.454 0.449 0.4604 0.4378 0.443 0.4416 0.4532 0.427 0.4352 0.4428
0.2602 0.439 0.441 0.4734 0.4566 0.4394 0.4518 0.4628 0.4582 0.4462 0.4394 0.4444 0.4338 0.4386 0.4452 0.4336 0.4262 0.4236 0.4466
0.2578 0.4108 0.4246 0.4582 0.4442 0.4424 0.4428 0.4404 0.4422 0.4284 0.4254 0.4334 0.4238 0.4252 0.42 0.4376 0.4098 0.4182 0.4312
0.2632 0.4064 0.4292 0.4406 0.4466 0.4394 0.4326 0.4376 0.4378 0.4282 0.4306 0.4416 0.431 0.427 0.4206 0.43 0.4246 0.426 0.4296
0.2636 0.428 0.435 0.4614 0.4452 0.4388 0.433 0.421 0.439 0.4366 0.4336 0.4394 0.4286 0.4248 0.426 0.433 0.4208 0.4182 0.431
0.259 0.3976 0.4074 0.435 0.4228 0.4178 0.4186 0.4158 0.4186 0.4282 0.4092 0.4168 0.408 0.4168 0.4076 0.4152 0.3982 0.3978 0.404
0.2584 0.4282 0.4216 0.4554 0.437 0.441 0.4352 0.4256 0.4216 0.4386 0.4228 0.439 0.431 0.427 0.4276 0.4366 0.4154 0.4186 0.4292
0.2624 0.4618 0.4526 0.49 0.4678 0.4598 0.4528 0.4734 0.4718 0.4818 0.4488 0.4628 0.4492 0.4406 0.442 0.4544 0.4484 0.4472 0.4518
