resBayes resBagging resRF resLVIRF resCsrf5 resCsrf10 resCsrf50 resCsrf150 resCsrf250 resCsrf350 resDVSRF1 resDVSRF2 resKVRF1 resKVRF2 resKVRF3 resKVRF4 resNNRF1 resNNRF2 resNNRF3
0.2528 0.4854 0.5408 0.4692 0.5276 0.529 0.5364 0.5154 0.5092 0.498 0.5442 0.541 0.54 0.5298 0.53 0.5454 0.5574 0.5514 0.5508
0.2574 0.4518 0.5248 0.4306 0.517 0.4936 0.5038 0.485 0.4924 0.4748 0.527 0.5218 0.5294 0.5394 0.526 0.5284 0.5398 0.544 0.5418
0.2496 0.4758 0.564 0.4556 0.5096 0.5128 0.5078 0.5104 0.5132 0.5 0.5506 0.5706 0.5416 0.532 0.5494 0.5742 0.5764 0.5654 0.5666
0.2554 0.4728 0.534 0.4438 0.5 0.5136 0.4958 0.4982 0.4928 0.481 0.4922 0.519 0.533 0.508 0.5294 0.5334 0.54 0.532 0.529
0.2522 0.4574 0.5568 0.4536 0.5074 0.5108 0.512 0.5058 0.5 0.4822 0.5384 0.536 0.5396 0.5396 0.5478 0.543 0.557 0.5618 0.5574
0.266 0.4668 0.535 0.4612 0.5288 0.529 0.526 0.5096 0.5016 0.4916 0.5466 0.5472 0.5414 0.5474 0.546 0.5642 0.5532 0.5568 0.5522
0.2594 0.47 0.5294 0.4576 0.5204 0.5252 0.5124 0.5114 0.5194 0.481 0.536 0.533 0.5406 0.5396 0.5534 0.5536 0.559 0.5592 0.557
0.254 0.457 0.537 0.437 0.5012 0.4894 0.4836 0.5 0.493 0.4736 0.53 0.4954 0.519 0.5076 0.5388 0.5224 0.538 0.5488 0.5368
0.2492 0.4698 0.5372 0.4536 0.507 0.5148 0.5178 0.5174 0.5168 0.5064 0.5362 0.5534 0.5358 0.534 0.5488 0.558 0.5456 0.5534 0.5568
0.2696 0.4914 0.5262 0.4692 0.5274 0.5154 0.5144 0.5236 0.5194 0.503 0.5306 0.5382 0.5428 0.5588 0.5488 0.5514 0.5634 0.5616 0.5528
