resBagging resRF resLVIRF resCsrf50 resCsrf150 resCsrf250 resDVSRF1 resDVSRF2 resKVRF1 resKVRF2 resKVRF3 resKVRF4 resNNRF1 resNNRF2 resNNRF3
0.36 0.3752 0.3834 0.3858 0.3822 0.376 0.3808 0.3874 0.3794 0.3818 0.3792 0.3918 0.386 0.3844 0.3784
0.3568 0.3716 0.3626 0.381 0.3612 0.3742 0.3748 0.3744 0.37 0.375 0.3682 0.371 0.372 0.3712 0.3742
0.3758 0.382 0.383 0.4034 0.3918 0.3898 0.3822 0.388 0.3856 0.387 0.3868 0.3936 0.388 0.388 0.3874
0.374 0.4004 0.3974 0.406 0.3836 0.3876 0.3996 0.4018 0.3892 0.3934 0.3918 0.3944 0.3956 0.3908 0.3966
0.3594 0.3744 0.364 0.3806 0.3768 0.37 0.3742 0.3798 0.3676 0.3714 0.3676 0.3852 0.376 0.3794 0.3766
0.3726 0.3912 0.3802 0.3886 0.3864 0.3812 0.3858 0.3846 0.3796 0.3812 0.379 0.386 0.3878 0.3872 0.3858
0.3556 0.3822 0.382 0.3884 0.38 0.3826 0.3726 0.3822 0.3778 0.3782 0.3878 0.3866 0.3846 0.3862 0.3838
0.3718 0.3782 0.3786 0.388 0.3774 0.379 0.3802 0.384 0.3696 0.3726 0.3752 0.3866 0.3828 0.3778 0.3742
0.3598 0.3798 0.3832 0.3846 0.3824 0.3772 0.3804 0.3862 0.378 0.3792 0.3846 0.3868 0.3886 0.3858 0.3824
0.3768 0.3938 0.3902 0.4014 0.395 0.3902 0.386 0.3932 0.388 0.3922 0.3918 0.3906 0.3966 0.3914 0.3914
