resBagging resRF resLVIRF resCsrf5 resCsrf10 resCsrf50 resCsrf150 resCsrf250 resCsrf350 resDVSRF1 resDVSRF2 resKVRF1 resKVRF2 resKVRF3 resKVRF4 resNNRF1 resNNRF2 resNNRF3
0.2538 0.3156 0.2738 0.2758 0.276 0.2706 0.275 0.2752 0.272 0.3052 0.2968 0.3104 0.3036 0.3108 0.325 0.4228 0.4016 0.375
0.262 0.313 0.2738 0.2778 0.275 0.271 0.28 0.2778 0.2814 0.3074 0.3 0.3078 0.3118 0.306 0.3246 0.426 0.3984 0.371
0.2814 0.327 0.2814 0.2968 0.2946 0.293 0.2984 0.2986 0.3 0.318 0.3232 0.3338 0.327 0.3236 0.3426 0.4402 0.429 0.3914
0.2676 0.3138 0.2828 0.2898 0.2842 0.2812 0.2822 0.2898 0.2864 0.3158 0.3032 0.3128 0.3172 0.3196 0.3204 0.4442 0.4272 0.3836
0.2602 0.317 0.2726 0.2826 0.2796 0.2798 0.279 0.2846 0.2854 0.2996 0.3022 0.3142 0.317 0.3174 0.3304 0.4332 0.4138 0.3756
0.266 0.3068 0.2784 0.2886 0.2846 0.283 0.2844 0.2852 0.2878 0.3146 0.3092 0.3152 0.3186 0.3174 0.3264 0.457 0.4292 0.3864
0.2554 0.3008 0.268 0.2744 0.2708 0.269 0.2664 0.275 0.2742 0.294 0.292 0.2986 0.3032 0.299 0.32 0.4228 0.3974 0.371
0.2634 0.3156 0.285 0.2856 0.2836 0.2796 0.289 0.2882 0.2952 0.3124 0.3056 0.3162 0.3196 0.321 0.3318 0.4436 0.4148 0.3904
0.2718 0.3274 0.2902 0.295 0.2954 0.289 0.2944 0.2924 0.2998 0.3174 0.3226 0.3314 0.3312 0.3292 0.3432 0.462 0.4266 0.4078
0.2592 0.321 0.2764 0.28 0.2768 0.2778 0.276 0.2836 0.286 0.305 0.3136 0.3052 0.3164 0.316 0.3246 0.4302 0.4056 0.3766
